"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"26-100","Yes","No","No","I don't know","Yes","Somewhat difficult","Maybe","No","Maybe","No","I don't know","No","Sometimes","Maybe","Yes, I think it would","Maybe","Somewhat open","Yes, I experienced","Maybe","I don't know","Yes","Maybe","No","True","Sometimes","Often","25-35","M","United States of America","United States of America","Never"
"More than 1000","I don't know","I am not sure","Yes","Yes","I don't know","Somewhat easy","Maybe","No","Yes","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","Yes, I observed","No","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Canada","Canada","Always"
"More than 1000","I don't know","I am not sure","No","No","I don't know","Neither easy nor difficult","Yes","No","No","Maybe","No","No","I don't know","No","Yes, it has","Yes, they do","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Maybe","Yes","True","Rarely","Often","36-45","M","United Kingdom","United Kingdom","Never"
"26-100","Yes","No","No","No","I don't know","Very difficult","Yes","Maybe","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"1-5","Not eligible for coverage / N/A","Yes","No","No","No","I don't know","Yes","Yes","No","No","I don't know","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often",">25","F","United States of America","United States of America","Sometimes"
"More than 1000","Not eligible for coverage / N/A","No Entry","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No","Yes","Maybe","Yes","No","I don't know","Maybe","Yes, I think it would","Maybe","Somewhat open","No","No Entry","Yes","Yes","Maybe","Yes","True","Sometimes","Often",">25","O","United States of America","United States of America","Never"
"26-100","Yes","Yes","No","No","No","Neither easy nor difficult","Yes","Maybe","Maybe","Maybe","No","Yes","Sometimes","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","Yes","Yes","Maybe","Yes","True","Sometimes","Sometimes","25-35","M","United Kingdom","United Kingdom","Never"
"1-5","Yes","No","No","No","I don't know","Somewhat difficult","Yes","No","Maybe","No","No","No","Not Applicable","No","Yes, I think it would","No, I don't think they would","Somewhat not open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often",">25","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","No","I don't know","I don't know","Very difficult","Yes","Maybe","No","No","No","No","I don't know","Yes","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Rarely","25-35","M","United States of America","United States of America","Always"
"More than 1000","Yes","Yes","No","No","I don't know","Very easy","No","No","Yes","Yes","I don't know","No","I don't know","No","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Never"
"100-500","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Neutral","Maybe/Not sure","No Entry","Yes","Maybe","Yes","Yes","True","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","Yes","Yes","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","No","Yes, I think it would","Maybe","Somewhat not open","No","No Entry","Yes","Yes","Maybe","Yes","True","Rarely","Sometimes","25-35","F","United States of America","United States of America","Always"
"More than 1000","Yes","No","No","Yes","I don't know","I don't know","Maybe","Maybe","Maybe","Yes","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","No","No Entry","Yes","Yes","Yes","Yes","False","Not applicable to me","Often","36-45","M","United States of America","United States of America","Never"
"26-100","No","Yes","Yes","No","No","I don't know","Maybe","No","Maybe","Yes","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","False","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"6-25","No","I am not sure","Yes","No","I don't know","Somewhat difficult","Yes","Maybe","No","Yes","No","No","I don't know","No","Yes, I think it would","No, I don't think they would","Neutral","No","No Entry","Yes","Yes","Yes","Yes","True","Often","Often","25-35","M","India","India","Sometimes"
"More than 1000","I don't know","I am not sure","No","No","I don't know","I don't know","Maybe","No","No","No","I don't know","No","Not Applicable","No","Yes, I think it would","Maybe","Neutral","Maybe/Not sure","No","I don't know","Yes","Maybe","Yes","True","Often","Often","25-35","M","Poland","Poland","Never"
"6-25","No","No","No","No","No","Somewhat difficult","Yes","No","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","Ireland","Ireland","Sometimes"
"100-500","I don't know","I am not sure","No","I don't know","Yes","I don't know","Maybe","No","No","No","No","No","Yes, always","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","Afghanistan","United States of America","Sometimes"
"100-500","Yes","Yes","Yes","Yes","Yes","Neither easy nor difficult","No","No","Maybe","Yes","Yes","No","Yes, always","Maybe","Maybe","Maybe","Somewhat not open","Yes, I observed","No","I don't know","No","Yes","Yes","True","Rarely","Sometimes","36-45","M","United Kingdom","United Kingdom","Always"
"26-100","I don't know","No","No","No","I don't know","Very difficult","Yes","Yes","No","No","No","Yes","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","No","Maybe","Yes","Yes","True","Sometimes","Often","36-45","M","Belgium","Belgium","Never"
"6-25","Yes","I am not sure","No","No","Yes","Very easy","Yes","Yes","No","No","Yes","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","No","Yes","Yes","Yes","True","Often","Often",">25","F","United States of America","United States of America","Sometimes"
"1-5","Not eligible for coverage / N/A","I am not sure","Yes","Yes","Yes","Neither easy nor difficult","No","No","Maybe","Maybe","No","No","Not Applicable","Maybe","Maybe","Maybe","Very open","Maybe/Not sure","Maybe","No","No","No","No","False","Sometimes","Sometimes",">25","M","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","I don't know","Yes","Somewhat easy","No","No","Yes","Yes","I don't know","No","I don't know","No","No, I don't think it would","No, they do not","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often",">25","F","United States of America","United States of America","Sometimes"
"500-1000","Yes","Yes","No","I don't know","Yes","Very difficult","No","No","Yes","Maybe","No","No","Yes, always","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","36-45","F","United States of America","United States of America","Never"
"More than 1000","Not eligible for coverage / N/A","I am not sure","No","I don't know","I don't know","Very difficult","Maybe","No","Maybe","No","I don't know","No","Not Applicable","No","Maybe","No, I don't think they would","Somewhat not open","Maybe/Not sure","Maybe","Yes","Yes","Yes","Yes","True","Sometimes","Often",">25","F","United States of America","United States of America","Never"
"500-1000","No","No","No","No","I don't know","Somewhat easy","Maybe","No","No","Maybe","I don't know","No","Not Applicable","No","Maybe","Maybe","Somewhat not open","Maybe/Not sure","No","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United States of America","United States of America","Never"
"26-100","No","No Entry","No","No","I don't know","Very difficult","Yes","Maybe","No","No","No","Yes","Not Applicable","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Not applicable to me","Often","25-35","M","Netherlands","Netherlands","Never"
"26-100","Yes","I am not sure","Yes","No","I don't know","Neither easy nor difficult","Yes","No","No","No","Yes","No","I don't know","Maybe","Yes, I think it would","Maybe","Somewhat open","No","No Entry","No","Yes","Yes","Yes","False","Sometimes","Often","36-45","M","United Kingdom","United Kingdom","Never"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","Yes","No","No","Yes","Sometimes","No","Maybe","Maybe","Neutral","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Sometimes"
"26-100","No","No","No","No","Yes","Very easy","Maybe","No","Yes","Maybe","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat not open","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Estonia","Estonia","Never"
"26-100","I don't know","I am not sure","No","I don't know","I don't know","I don't know","Maybe","Maybe","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Very open","Yes, I observed","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Canada","United States of America","Always"
"100-500","Yes","I am not sure","Yes","I don't know","I don't know","Somewhat easy","No","No","No","Maybe","No","No","Not Applicable","No","Maybe","Maybe","Not applicable to me (I do not have a mental illness)","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","Canada","Canada","Sometimes"
"100-500","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No","I don't know","Yes","Yes","Yes","True","Rarely","Often",">25","F","Canada","Canada","Sometimes"
"100-500","Yes","I am not sure","Yes","Yes","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","Yes, always","No","Yes, I think it would","Maybe","Somewhat not open","No","No Entry","I don't know","Maybe","Maybe","No","False","Rarely","Rarely",">25","M","Canada","Canada","Sometimes"
"100-500","I don't know","I am not sure","No","I don't know","I don't know","Somewhat easy","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Yes, it has","Maybe","Somewhat open","Yes, I experienced","Maybe","I don't know","Yes","Yes","Yes","True","Rarely","Often","25-35","F","Canada","Canada","Sometimes"
"500-1000","Yes","No","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Very open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","F","United States of America","United States of America","Always"
