B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,WW,YY,ZZ,AAA,BBB,CCC,DDD,EEE,FFF,GGG,HHH,III,JJJ,LLL
26-100,1.0,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Often,26,F,United States of America,Michigan,United States of America,Michigan,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
100-500,1.0,Yes,I am not sure,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Neutral,No,No Entry,Yes,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,35,M,Germany,No Entry,Germany,No Entry,Supervisor/Team Lead,Never
100-500,0.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,No,1,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"No, it has not","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Often,56,M,United States of America,Missouri,United States of America,Missouri,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
26-100,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,24,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Never
More than 1000,1.0,No,I am not sure,No,No,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, it has",Maybe,Not open at all,Maybe/Not sure,No Entry,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,N/A,0,Sometimes,Often,37,M,Ireland,No Entry,Ireland,No Entry,Back-end Developer,Never
26-100,0.0,No,Yes,No,No,I don't know,Very difficult,Yes,Maybe,Yes,Maybe,No,Yes,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,Maybe,Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Often,27,F,United States of America,Pennsylvania,United States of America,Pennsylvania,Designer,Never
1-5,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Very open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,39,F,United States of America,Pennsylvania,United States of America,Pennsylvania,Back-end Developer|Front-end Developer,Sometimes
100-500,1.0,Yes,Yes,No,I don't know,I don't know,Very difficult,Yes,No,No,No,I don't know,No,1,Some did,"No, I only became aware later",Some did,Some did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,1,Not applicable to me,Often,34,M,United States of America,Indiana,United States of America,Colorado,Back-end Developer|Front-end Developer,Always
More than 1000,0.0,No,No Entry,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,33,M,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer,Sometimes
1-5,1.0,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,No Entry,I don't know,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,0,Sometimes,Sometimes,22,M,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer,Never
6-25,1.0,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,I don't know,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,25,F,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer|Supervisor/Team Lead,Sometimes
More than 1000,0.0,I don't know,No,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,34,M,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer|Back-end Developer,Never
6-25,1.0,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,Yes,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Maybe,Yes,Maybe,Maybe,Substance Use Disorder|Obsessive-Compulsive Disorder,No,N/A,0,Not applicable to me,Not applicable to me,30,M,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer,Sometimes
26-100,1.0,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No Entry,I don't know,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Obsessive-Compulsive Disorder|Substance Use Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,37,M,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer,Never
6-25,1.0,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,Yes,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Not applicable to me,Sometimes,26,M,Chile,No Entry,Chile,No Entry,Front-end Developer,Never
More than 1000,0.0,Yes,Yes,Yes,Yes,I don't know,I don't know,No,No,Maybe,Yes,Yes,Yes,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,29,F,United States of America,Texas,United States of America,Texas,Front-end Developer,Never
6-25,1.0,No,No,I don't know,I don't know,No,Very difficult,Yes,No,Maybe,No,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"Yes, they do",Very open,"Yes, I observed",Maybe,I don't know,No,No,N/A,No,N/A,1,Sometimes,Often,29,M,Chile,No Entry,Chile,No Entry,Designer|Front-end Developer,Sometimes
26-100,0.0,No,No Entry,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Maybe,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,27,M,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer|Designer,Never
6-25,0.0,No,No,No,No,I don't know,Neither easy nor difficult,Yes,No,No,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,"Yes, it has",Maybe,Somewhat open,No,No Entry,Yes,Yes,No,N/A,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Dissociative Disorder",1,Sometimes,Rarely,27,F,Chile,No Entry,Chile,No Entry,Front-end Developer,Sometimes
More than 1000,0.0,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,Yes,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Yes,"Yes, I think it would","Yes, I think they would",Somewhat open,No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,23,M,United States of America,Massachusetts,United States of America,Massachusetts,Back-end Developer|Front-end Developer,Sometimes
More than 1000,1.0,I don't know,Yes,No,Yes,Yes,Very easy,No,No,No,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,24,F,United States of America,Massachusetts,United States of America,Massachusetts,Front-end Developer,Sometimes
1-5,0.0,No,No,No,No,No,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,"No, they do not",Somewhat open,No,No Entry,No,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,28,M,United Kingdom,No Entry,United Kingdom,No Entry,DevOps/SysAdmin|Front-end Developer|Back-end Developer|Support,Never
6-25,0.0,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Neutral,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Often,22,M,United States of America,Iowa,United States of America,Iowa,Front-end Developer|Designer,Never
26-100,1.0,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe,No,No,No,No,1,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Not applicable to me,Sometimes,32,M,United States of America,Massachusetts,United States of America,Massachusetts,Front-end Developer,Sometimes
6-25,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,35,F,United States of America,Oregon,United States of America,Oregon,DevOps/SysAdmin,Always
26-100,1.0,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No,No,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No Entry,No,Yes,Yes,Attention Deficit Hyperactivity Disorder|Addictive Disorder,Yes,Attention Deficit Hyperactivity Disorder,1,Sometimes,Sometimes,26,M,United States of America,California,United States of America,California,Back-end Developer,Sometimes
More than 1000,1.0,No,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Yes,No,Maybe,No,No,1,"No, none did","No, I only became aware later",Some did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,I don't know,No,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,31,F,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer,Sometimes
100-500,1.0,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,Some of them,No,No,"Yes, it has","Yes, I think they would",Somewhat open,No,No Entry,I don't know,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Not applicable to me,Often,37,M,Pakistan,No Entry,Pakistan,No Entry,Supervisor/Team Lead,Sometimes
