B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
26-100,False,No,No Entry,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,I don't know,No,True,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Maybe,Yes,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,United Kingdom,United Kingdom,Never
6-25,False,No,No,No,No,I don't know,Neither easy nor difficult,Yes,No,No,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,"Yes, it has",Maybe,Somewhat open,No,No Entry,Yes,Yes,No,Yes,True,Sometimes,Rarely,Lower Mid Career,F,Chile,Chile,Sometimes
More than 1000,False,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,Yes,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Yes,"Yes, I think it would","Yes, I think they would",Somewhat open,No Entry,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,True,I don't know,Yes,No,Yes,Yes,Very easy,No,No,No,Yes,I don't know,No,True,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,F,United States of America,United States of America,Sometimes
1-5,False,No,No,No,No,No,Very easy,No,No,Yes,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,"No, they do not",Somewhat open,No,No Entry,No,Maybe,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United Kingdom,United Kingdom,Never
6-25,False,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Neutral,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,Early Career,M,United States of America,United States of America,Never
26-100,True,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe,No,No,No,No,True,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Maybe,I don't know,No,True,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,F,United States of America,United States of America,Always
26-100,True,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No,No,Yes,I don't know,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No Entry,No,Yes,Yes,Yes,True,Sometimes,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,No,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Yes,No,Maybe,No,No,True,"No, none did","No, I only became aware later",Some did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,I don't know,No,Yes,Yes,True,Rarely,Often,Lower Mid Career,F,United Kingdom,United Kingdom,Sometimes
100-500,True,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,Some of them,No,No,"Yes, it has","Yes, I think they would",Somewhat open,No,No Entry,I don't know,Yes,Maybe,Yes,True,Not applicable to me,Often,Upper Mid Career,M,Pakistan,Pakistan,Sometimes
6-25,False,No,No,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat not open,No,No Entry,No,Yes,Yes,Yes,True,Never,Sometimes,Early Career,M,United Kingdom,United Kingdom,Never
26-100,True,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Always
100-500,True,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,No,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No Entry,I don't know,Maybe,Maybe,No,True,Never,Sometimes,Early Career,F,United States of America,United States of America,Sometimes
100-500,True,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I experienced",No Entry,Yes,Yes,Maybe,Yes,True,Sometimes,Often,Late Career,M,Germany,Germany,Sometimes
26-100,True,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,True,Some did,I was aware of some,None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,I don't know,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Always
26-100,True,I don't know,I am not sure,No,Yes,Yes,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,No,No,True,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,No,No,Yes,Yes,True,Often,Often,Lower Mid Career,M,United States of America,United States of America,Never
100-500,True,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,No,Yes,No,False,Sometimes,Often,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,False,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,True,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, it has","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Maybe,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,False,Yes,I am not sure,I don't know,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,Maybe,"Yes, I think they would",Somewhat not open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
500-1000,False,Yes,I am not sure,Yes,Yes,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Neutral,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,F,United States of America,United States of America,Always
100-500,True,Yes,No,No,I don't know,I don't know,I don't know,Yes,Maybe,Maybe,No,I don't know,No,True,Some did,N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Maybe,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,I don't know,Yes,Yes,Yes,True,Sometimes,Often,Early Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,I am not sure,Yes,Yes,I don't know,Very difficult,Maybe,No,No,No,I don't know,Yes,True,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Never
6-25,True,Not eligible for coverage / N/A,No,No,No,Yes,Neither easy nor difficult,Maybe,No,Yes,No,I don't know,No,True,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No Entry,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,France,France,Sometimes
More than 1000,True,Yes,No,No,Yes,I don't know,I don't know,Yes,No,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I experienced",Maybe,Yes,Yes,Yes,Yes,False,Often,Sometimes,Early Career,F,Ireland,Ireland,Never
26-100,True,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,True,"Yes, they all did",I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Maybe,Yes,Yes,True,Sometimes,Sometimes,Lower Mid Career,F,United States of America,United States of America,Never
26-100,True,Yes,Yes,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,True,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Maybe,Yes,True,Rarely,Often,Early Career,F,United States of America,United States of America,Never
More than 1000,True,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,No,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,Maybe,Maybe,Very open,"Yes, I observed",Yes,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Never
